vertex_id,betweenness,closeness,eigenvector
0,0.0014603294868855744,0.3376473884694318,0.07176965459171825
1,8.511000578305763e-05,0.3112352099403162,0.026633183458528362
2,0.0004885596294009989,0.32641735972824176,0.047336582079372615
3,0.0025159969399452557,0.3515414334148072,0.10253826230141538
4,0.00030567030602981555,0.32275251008013434,0.04201453528392666
5,5.8490587014142946e-05,0.30695407323773005,0.025436942333519414
6,0.00012582264747422074,0.31768628959856354,0.041872659989061686
7,6.467193919893125e-05,0.3036634951337288,0.020263810412373885
8,0.0002870794838545707,0.3241769427640763,0.04606217128798874
9,0.0002712741554323133,0.3171056094108945,0.04478895894223811
10,0.0004638912800874215,0.3309653713394945,0.0643072961727681
11,1.1720528432419895e-05,0.2997116218414525,0.01529005600889966
12,4.4220542635516165e-05,0.3074069732968374,0.024709537117200694
13,5.362388467175747e-05,0.302990764714277,0.019993109895550205
14,1.7517323094610183e-06,0.290233757103521,0.01251175980025461
15,1.9202085236278796e-06,0.289273410280865,0.012691843396566012
16,9.711727806167095e-06,0.29928913293012827,0.015395131241830937
17,1.1548670226567615e-05,0.2990081347702749,0.013585406747457092
18,0.0010623894770049865,0.34434661723818355,0.08995792742217763
19,4.638675546323802e-05,0.302550774596755,0.019500405244154834
20,3.205628954142336e-06,0.2871458656688542,0.01043835391062115
21,1.772919633332896e-06,0.2902016428227392,0.012664087428848801
22,4.673773082417923e-06,0.2935684374094656,0.01322085713118164
23,1.6185870616525572e-06,0.28868529249894787,0.01249068751170963
24,0.00015004728372164256,0.30912481886946813,0.03359167667497178
25,6.52365741000108e-06,0.28872081126235216,0.01197540184748341
26,7.835163654335009e-05,0.3171349313606942,0.03949662833509814
27,1.7196062385903212e-05,0.2991224774581366,0.014319789568836663
28,2.5816177565259674e-05,0.3018645651379128,0.019818776058074354
29,1.0160482088916302e-05,0.29872566229380787,0.015697939800715707
30,0.00031011075432235284,0.3323766428363761,0.06775842134852524
31,3.151497257884055e-05,0.29999394440968086,0.01969891271224184
